Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"verifyTextPresent(""Customer Details"", false)",Chrome 122.0.0.0,,,05-03-2024 12:15:48,05-03-2024 12:15:48,0.248s,PASSED
"click(findTestObject(""Page_Customer Details Form/input_Age_sub""))",Chrome 122.0.0.0,,,05-03-2024 12:15:48,05-03-2024 12:15:48,0.312s,PASSED
"takeScreenshot(""C:\xampp\htdocs\customer\img\TC10.png"")",Chrome 122.0.0.0,,,05-03-2024 12:15:48,05-03-2024 12:15:49,0.361s,PASSED
closeBrowser(),Chrome 122.0.0.0,,,05-03-2024 12:15:49,05-03-2024 12:15:49,0.071s,PASSED
,,,,,,,
Test Cases/UC01 - Seach By Keyword/TC0111,Chrome 122.0.0.0,,,05-03-2024 12:15:49,05-03-2024 12:15:52,3.284s,PASSED
"openBrowser("""")",Chrome 122.0.0.0,,,05-03-2024 12:15:49,05-03-2024 12:15:49,0.554s,PASSED
"navigateToUrl(""http://127.0.0.1/customer/"")",Chrome 122.0.0.0,,,05-03-2024 12:15:49,05-03-2024 12:15:49,0.045s,PASSED
"setText(findTestObject(""Object Repository/Page_Customer Details Form/input_First Name_firstname""), ""johnjohn"")",Chrome 122.0.0.0,,,05-03-2024 12:15:49,05-03-2024 12:15:50,0.599s,PASSED
"setText(findTestObject(""Page_Customer Details Form/input_Last Name_lastname""), ""canoncan"")",Chrome 122.0.0.0,,,05-03-2024 12:15:50,05-03-2024 12:15:51,0.569s,PASSED
"setText(findTestObject(""Object Repository/Page_Customer Details Form/input_Age_age""), ""151"")",Chrome 122.0.0.0,,,05-03-2024 12:15:51,05-03-2024 12:15:51,0.535s,PASSED
"verifyTextPresent(""Customer Details"", false)",Chrome 122.0.0.0,,,05-03-2024 12:15:51,05-03-2024 12:15:51,0.246s,PASSED
"click(findTestObject(""Page_Customer Details Form/input_Age_sub""))",Chrome 122.0.0.0,,,05-03-2024 12:15:51,05-03-2024 12:15:52,0.280s,PASSED
"takeScreenshot(""C:\xampp\htdocs\customer\img\TC11.png"")",Chrome 122.0.0.0,,,05-03-2024 12:15:52,05-03-2024 12:15:52,0.342s,PASSED
closeBrowser(),Chrome 122.0.0.0,,,05-03-2024 12:15:52,05-03-2024 12:15:52,0.080s,PASSED
